,Date,Time,Magnitude(ml),Depth(km),Region,Country/City,Localization,Latitude,Longitude
191,22/01/2022,02:46,3.6,10,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.1935,43.9216
192,21/01/2022,22:37,3.0,11,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.1785,43.9236
193,21/01/2022,22:28,3.1,9,City Ninotsminda - East - 24km. Village Sameba - 9km.,City Ninotsminda, Village Sameba - 9km.,41.1815,43.9165
194,09/01/2022,14:27,3.0,35,null,null,null,41.4123,45.484
195,30/12/2021,20:04,4.0,12,From Tbilisi  57km. City Tsalka - South-West - 17km. Village mamishlari - 2km.,Near Tbilisi, City Tsalka - South-West - 17km. Village mamishlari - 2km.,41.4333,43.9921
196,29/12/2021,01:29,3.1,34,Russia. Chechnia. From Georgia border - 27km.,Russia, Chechnia. From Georgia border - 27km.,42.776,45.6973
197,24/12/2021,17:17,3.4,14,Armenia. From Georgia border - 6km.,Armenia, From Georgia border - 6km.,41.145,44.3886
198,17/12/2021,07:10,3.3,9,Armenia. From Georgia border - 0km.,Armenia, From Georgia border - 0km.,41.1283,43.8233
199,16/12/2021,17:50,3.1,10,City Dmanisi - South-West - 25km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.1933,43.9286
200,15/12/2021,21:00,3.3,9,City Dmanisi - South-West - 25km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.1968,43.9291
201,14/12/2021,03:50,3.1,57,Russia. Dagestan. From Georgia border - 69km.,Russia, Dagestan. From Georgia border - 69km.,42.4798,46.7066
202,12/12/2021,02:18,3.1,38,City Gurdjaani - South-East - 4km. Village Bakurcikhe.,City Gurdjaani, Village Bakurcikhe.,41.7155,45.851
203,10/12/2021,18:17,3.1,5,City Martvili - West - 8km. Village legogie.,City Martvili, Village legogie.,42.4375,42.2421
204,09/12/2021,02:42,3.2,11,From Tbilisi  57km. City Tsalka - South-West - 16km. Village mamishlari - 2km.,Near Tbilisi, City Tsalka - South-West - 16km. Village mamishlari - 2km.,41.4356,43.9918
205,07/12/2021,16:02,3.0,11,City Ninotsminda - East - 25km. Village Sameba - 7km.,City Ninotsminda, Village Sameba - 7km.,41.1758,43.9026
206,04/12/2021,14:26,3.6,6,Town Mestia - West - 29km. Village Nakra - 3km.,Town Mestia, Village Nakra - 3km.,43.1018,42.3405
207,04/12/2021,10:01,3.0,9,City Dmanisi - South-West - 25km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.1808,43.9361
208,02/12/2021,23:22,4.3,2,Russia. Dagestan. From Georgia border - 122km.,Russia, Dagestan. From Georgia border - 122km.,42.9976,47.0856
209,28/11/2021,05:54,3.0,9,City Oni.,City Oni,,42.592,43.4471
210,27/11/2021,20:16,3.1,9,City Dmanisi - South-West - 19km. Village Irganchai - 10km.,City Dmanisi, Village Irganchai - 10km.,41.1936,44.0113
211,26/11/2021,03:21,3.4,11,From Tbilisi  64km. City Dmanisi - West - 18km. Village mamishlari - 7km.,Near Tbilisi, City Dmanisi - West - 18km. Village mamishlari - 7km.,41.3568,43.953
212,22/11/2021,08:31,4.9,1,Turkey. From Georgia border - 174km.,Turkey, From Georgia border - 174km.,39.8596,41.8423
213,21/11/2021,03:48,3.1,12,From Tbilisi  52km. City Dmanisi - North-West - 9km. Village Zemo karabulaghi.,Near Tbilisi, City Dmanisi - North-West - 9km. Village Zemo karabulaghi.,41.401,44.0938
214,16/11/2021,18:43,3.3,10,From Tbilisi  55km. City Dmanisi - South-East - 12km. Village Guguti - 1km.,Near Tbilisi, City Dmanisi - South-East - 12km. Village Guguti - 1km.,41.2181,44.2838
215,15/11/2021,00:16,3.5,12,Russia. Chechnia. From Georgia border - 44km.,Russia, Chechnia. From Georgia border - 44km.,43.0068,45.53
216,14/11/2021,06:23,3.2,10,City Dmanisi - South-West - 26km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.175,43.9265
217,08/11/2021,17:34,3.4,11,From Tbilisi  58km. City Tsalka - South-West - 18km. Village mamishlari - 2km.,Near Tbilisi, City Tsalka - South-West - 18km. Village mamishlari - 2km.,41.4395,43.9883
218,08/11/2021,14:58,3.6,11,From Tbilisi  57km. City Tsalka - South-West - 16km. Village mamishlari - 3km.,Near Tbilisi, City Tsalka - South-West - 16km. Village mamishlari - 3km.,41.432,43.9948
219,05/11/2021,02:28,3.2,8,City Dmanisi - South-West - 25km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.1826,43.9335
220,04/11/2021,22:56,3.8,46,Azerbaijan. From Georgia border - 2km.,Azerbaijan, From Georgia border - 2km.,41.2195,45.6228
221,04/11/2021,09:50,3.7,12,City Oni - South-East - 6km. Village Iri.,City Oni, Village Iri.,42.529,43.5383
222,31/10/2021,23:44,3.0,23,Russia. Dagestan. From Georgia border - 3km.,Russia, Dagestan. From Georgia border - 3km.,42.0728,46.0028
223,31/10/2021,09:28,3.1,22,Russia. Chechnia. From Georgia border - 114km.,Russia, Chechnia. From Georgia border - 114km.,43.7256,45.4335
224,25/10/2021,18:09,3.0,8,City Oni - East - 4km. Village Qvedi.,City Oni, Village Qvedi.,42.5353,43.475
225,25/10/2021,17:00,3.3,9,Armenia. From Georgia border - 2km.,Armenia, From Georgia border - 2km.,41.1461,43.9166
226,25/10/2021,12:57,3.5,9,Armenia. From Georgia border - 2km.,Armenia, From Georgia border - 2km.,41.143,43.9198
227,24/10/2021,21:52,3.2,28,From Tbilisi  16km.City Rustavi.,Near Tbilisi,City Rustavi.,41.5056,45.0466
228,24/10/2021,17:20,3.0,9,Armenia. From Georgia border - 1km.,Armenia, From Georgia border - 1km.,41.1478,43.9368
229,24/10/2021,17:04,4.5,10,Armenia. From Georgia border - 2km.,Armenia, From Georgia border - 2km.,41.1465,43.9388
230,24/10/2021,15:17,3.3,65,Russia. Dagestan. From Georgia border - 47km.,Russia, Dagestan. From Georgia border - 47km.,42.7635,46.1875
231,20/10/2021,04:45,4.8,13,Russia. Chechnia. From Georgia border - 46km.,Russia, Chechnia. From Georgia border - 46km.,43.0245,45.5276
232,18/10/2021,10:49,3.4,38,City Dedoplistskaro - South-West - 32km. Village Gamarjveba - 30km.,City Dedoplistskaro, Village Gamarjveba - 30km.,41.2851,45.7831
233,17/10/2021,17:19,3.2,10,Russia. Chechnia. From Georgia border - 47km.,Russia, Chechnia. From Georgia border - 47km.,42.9145,45.9198
234,16/10/2021,22:40,3.5,7,Tao-Klarjeti. From Georgia border - 51km.,Tao-Klarjeti, From Georgia border - 51km.,40.9401,42.6706
235,05/10/2021,08:31,4.0,9,City Ninotsminda - East - 23km. Village Sameba - 5km.,City Ninotsminda, Village Sameba - 5km.,41.1725,43.8993
236,03/10/2021,12:38,3.1,5,Russia. Karachay-CHerkessia. From Georgia border - 4km.,Russia, Karachay-CHerkessia. From Georgia border - 4km.,43.3721,41.3418
237,29/09/2021,22:44,3.4,10,City Dmanisi - West - 21km. Village mamishlari - 10km.,City Dmanisi, Village mamishlari - 10km.,41.3543,43.9213
238,28/09/2021,18:46,3.4,22,Azerbaijan. From Georgia border - 30km.,Azerbaijan, From Georgia border - 30km.,41.5223,46.6736
239,27/09/2021,17:26,3.6,3,Russia. Chechnia. From Georgia border - 93km.,Russia, Chechnia. From Georgia border - 93km.,43.1421,46.3813
240,27/09/2021,11:00,3.4,7,Russia. Chechnia. From Georgia border - 45km.,Russia, Chechnia. From Georgia border - 45km.,43.2096,46.3955
241,26/09/2021,15:07,3.6,11,City Oni - South-East - 7km. Village Iri.,City Oni, Village Iri.,42.5113,43.5391
242,19/09/2021,14:34,3.0,11,City Dmanisi - South-West - 26km. Village Sameba - 8km.,City Dmanisi, Village Sameba - 8km.,41.178,43.9235
243,16/09/2021,10:19,3.3,10,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.1891,43.9201
244,15/09/2021,00:35,3.0,10,City Ninotsminda - East - 25km. Village Sameba - 7km.,City Ninotsminda, Village Sameba - 7km.,41.181,43.9146
245,14/09/2021,08:33,3.1,10,City Ninotsminda - East - 24km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.1886,43.9158
246,08/09/2021,09:32,3.0,9,City Tianeti - North - 31km. Village Betischrdili.,City Tianeti, Village Betischrdili.,42.4163,44.938
247,08/09/2021,06:22,3.1,17,Russia. Chechnia. From Georgia border - 73km.,Russia, Chechnia. From Georgia border - 73km.,43.1235,46.0685
248,06/09/2021,02:04,3.4,10,Russia. Dagestan. From Georgia border - 4km.,Russia, Dagestan. From Georgia border - 4km.,42.1306,45.9608
249,03/09/2021,10:29,3.8,10,City Ninotsminda - East - 26km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.176,43.9146
250,03/09/2021,08:50,3.1,12,Russia. Dagestan. From Georgia border - 8km.,Russia, Dagestan. From Georgia border - 8km.,42.1668,45.9255
251,03/09/2021,03:34,4.7,6,Russia. Dagestan. From Georgia border - 6km.,Russia, Dagestan. From Georgia border - 6km.,42.156,45.937
252,29/08/2021,04:28,3.1,10,City Dmanisi - West - 24km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.216,43.9165
253,25/08/2021,05:31,3.2,10,City Dmanisi - South-West - 26km. Village Sameba - 8km.,City Dmanisi, Village Sameba - 8km.,41.1856,43.9138
254,18/08/2021,09:41,4.2,10,City Ninotsminda - East - 22km. Village Sameba - 6km.,City Ninotsminda, Village Sameba - 6km.,41.1861,43.9076
255,17/08/2021,14:06,3.9,10,City Dmanisi - South-West - 26km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.179,43.9251
256,17/08/2021,10:44,3.3,9,Armenia. From Georgia border - 0km.,Armenia, From Georgia border - 0km.,41.1621,43.9175
257,17/08/2021,10:15,3.2,10,City Ninotsminda - East - 27km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.166,43.915
258,17/08/2021,05:43,3.8,10,City Dmanisi - South-West - 27km. Village Sameba - 8km.,City Dmanisi, Village Sameba - 8km.,41.1673,43.9191
259,16/08/2021,22:47,3.0,10,City Dmanisi - South-West - 26km. Village Sameba - 8km.,City Dmanisi, Village Sameba - 8km.,41.1865,43.92
260,16/08/2021,21:51,3.0,10,null,null,null,41.1705,43.9271
261,16/08/2021,15:56,3.1,10,City Dmanisi - West - 25km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.2118,43.9155
262,16/08/2021,01:51,3.2,10,City Dmanisi - West - 25km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.2101,43.9136
263,16/08/2021,01:44,5.1,10,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.2022,43.9126
264,15/08/2021,23:19,4.1,10,City Dmanisi - South-West - 26km. Village Sameba - 8km.,City Dmanisi, Village Sameba - 8km.,41.1936,43.9145
265,15/08/2021,19:42,3.7,9,City Dmanisi - South-West - 26km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.1896,43.9386
266,12/08/2021,11:52,3.3,10,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.2051,43.9173
267,10/08/2021,21:17,3.1,9,City Dmanisi - South-West - 26km. Village Sameba - 8km.,City Dmanisi, Village Sameba - 8km.,41.185,43.9135
268,10/08/2021,21:14,3.1,11,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.1893,43.9088
269,10/08/2021,12:34,3.0,10,City Ninotsminda - East - 25km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.1906,43.9081
270,09/08/2021,04:03,3.4,10,City Dmanisi - South-West - 24km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.189,43.943
271,09/08/2021,03:24,3.5,10,City Dmanisi - South-West - 25km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.1883,43.931
272,07/08/2021,04:28,3.9,10,City Dmanisi - South-West - 24km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.1938,43.9388
273,06/08/2021,23:36,3.4,10,City Dmanisi - South-West - 25km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.1938,43.9325
274,06/08/2021,15:25,3.3,9,City Dmanisi - South-West - 24km. Village Sameba - 10km.,City Dmanisi, Village Sameba - 10km.,41.1978,43.9361
275,06/08/2021,08:55,3.5,11,From Tbilisi  25km. City Bolnisi - West - 1km. Village Zvareti.,Near Tbilisi, City Bolnisi - West - 1km. Village Zvareti.,41.4416,44.4826
276,01/08/2021,17:09,3.1,10,City Ninotsminda - East - 24km. Village Sameba - 9km.,City Ninotsminda, Village Sameba - 9km.,41.1775,43.9226
277,30/07/2021,00:16,3.6,10,City Dmanisi - South-West - 26km. Village Sameba - 9km.,City Dmanisi, Village Sameba - 9km.,41.1905,43.9316
278,29/07/2021,22:16,3.1,1,Russia. Chechnia. From Georgia border - 58km.,Russia, Chechnia. From Georgia border - 58km.,42.9865,46.1478
279,28/07/2021,18:18,3.1,6,Russia. Dagestan. From Georgia border - 30km.,Russia, Dagestan. From Georgia border - 30km.,42.587,46.2428
280,28/07/2021,00:41,5.1,67,Russia. Dagestan. From Georgia border - 58km.,Russia, Dagestan. From Georgia border - 58km.,42.5406,46.654
281,25/07/2021,09:02,3.8,12,From Tbilisi  54km. City Tsalka - South-West - 13km. Village Salamaleiqi - 2km.,Near Tbilisi, City Tsalka - South-West - 13km. Village Salamaleiqi - 2km.,41.4611,44.0108
282,20/07/2021,22:03,3.0,10,null,null,null,43.4898,41.177
283,16/07/2021,01:04,2.8,10,null,null,null,41.1725,43.9338
284,14/07/2021,07:41,3.1,13,City Ninotsminda - East - 25km. Village Sameba - 7km.,City Ninotsminda, Village Sameba - 7km.,41.1673,43.8848
285,14/07/2021,07:04,4.0,10,City Ninotsminda - East - 21km. Village Saghamo - 10km.,City Ninotsminda, Village Saghamo - 10km.,41.1793,43.9273
